,tweet,subtask_a
1832, o’rourke tell us texas citizens how you feel about law enforcement officers ‍ tell us about your immigration plan tell us about your gun control plans tell us about your tax plans if you can’t tell us what your views are you can’t be senator,NOT
1833, an accusation is not enough we are fortunate to live in a country where you are innocent until proven guilty,OFF
1834, i had to look up who he was a bushcheney guy gop have some strange conservatives,NOT
1835, by which point the fuckingclass was nearly over lol,OFF
1836, coming from a former ag who should be charged with conspiracy to commit murder in the fast amp furious scandal one of the many scandals committed within the obama administration,NOT
1837, how about we rally behind a blue wave and parse policy after the country is in danger you are not helping you're speaking from a place of stop,NOT
1838,presumably you think liberals are as trivial as women and their complaining you wonder why dr ford does not want to surrender herself to such a harrowing experience before you all ,OFF
1839, and they will know she is the lord,NOT
1840, looks at this wow our hard earned money used for the liberals extravagant lifestyle doesn’t that remind you of the typical socialist government,NOT
1841, the comments below defending drug ford's blatant abuse of power is completely laughable but but the liberals bias bias i tell you must be only the ndp rich downtown area that was polled homan thanks guys i needed a good laugh ,OFF
1842, it just turns by itself into the wall,NOT
1843, yes he is ,NOT
1844, sure thing,NOT
1845, nothing leave,NOT
1846, voting for her as well democrat i assume,NOT
1847, like   uwu for the troops show your american flag and weeabo pride uwu,NOT
1848, oh she looks amazing thank u ,NOT
1849, david dennison might know where he is,NOT
1850, extremistische idee,NOT
1851, guess that's why she's settled for being the gaginducing spokesperson of the commercialized conservatives,NOT
1852, he is a big lump of —i agree ,OFF
1853, wasnt it just recently that john brown gun club got kicked out of a shooting range for being antifa,NOT
1854, the timing is too convenient she is a paid liar,OFF
1855,st thing liberals and conservatives want to pass is the tpp trade deal  via ,NOT
1856, everybody's doin it,NOT
1857, yes kill em with kindness let potus and the militaryleos handle the violence  ,OFF
1858, uhhh no sadam gassed the shit out of the kurds sp,OFF
1859, the truth will finally get out to congress and the american people that the dems are trying to take out a duly elected president they're running scared ,NOT
1860, no i'm  sure you're watching rightwingers posting things only and think you see discrepancies in narratives what i posted wasn't approved antifa video at all there's no such organization what it was was a popular youtuber examing what antifa is without any bias,NOT
1861, as usual a seemingly and supposed smart feminist thinks she has made sense yen yen yen yen yen yen alone you just told me rn you are also dealing with another person have you considered maybe you are the toxic one,OFF
1862, never had let's fuck it up,OFF
1863, i was definitely drunk as shit,OFF
1864, you mean cheating allegations not sexual harassment or assault it was about cheating big difference we all know facts scare liberals if you are so concerned about sexual assaults you need to shout for the names on the slush funds to be revealed until than have a seat,OFF
1865, had to create a whole fake page just to talk shit sis is really just miserable ,OFF
1866, i would've chose the headline why the left loves bernier personally i could not be more delighted the most important thing in any election is to prevent conservatives from gaining power just look at ontario for proof,NOT
1867, and of course you exclude all but a select group of primarily northwestern european and a few asian countries from your any country list gun control has no positive correlation with lower homicide rates even within cherrypicked euro countries ,OFF
1868, he won't live long now,NOT
1869, we are so proud of and the creativity she has brought to our students she is truly an asset,NOT
1870, liberals are the worst sexists not all women speak truth especially political activists try judging the veracity of the allegation by evidence instead of gender,OFF
1871, ah yes just get a better job you realize the majority of new job growth is in service industry and with how expensive student loans are college is less and less realistic for people,NOT
1872, lmao you are still butt hurt that your loser hitlary lost love it see you at the polls in  bucky,OFF
1873, proof all law enforcement are paramilitary goons for the communist leftwing amp will do anything to solidify their grip on power conservatives should seriously question their support of police ,NOT
1874, cmon eddie there is no reason at all for you to be so rude if i recall you are always begging for her back when you guys stop talking stop trying to make it seem like she’s a horrible person and you’re this amazing guylmfao,NOT
1875, holy freakin cow this is actually real from antifa now we really know they are stupid great way to get shot or hurt,OFF
1876, the conservatives are finding this pill very hard to swallow,NOT
1877, keep doing your thing i’m just sitting back enjoying ,NOT
1878, theresa may isn’t nice,OFF
1879, conservatives only care about democracy when it's their opinions and so called racist rights are in jeopardy anyone else they don't give a shit about it's sad,OFF
1880, please confirm kavanagh asap he is a fine choice don't let the liberals derail his nomination to the scotus,NOT
1881, holy fuck i’m so sorry someone violated your trust like that,OFF
1882, look at us we are just so full of ourselves an so narcissistic we can't realize our time is just about up ,NOT
1883, his promises should be taken with a pinch of salt often lies and spreads misinformation if elected i doubt you would see any promise honored he is not an honorable guy,NOT
1884, but i have to called an hotel to send a shuttle to come pick my mother who is sitting at terminal at the airport with their agents  i reminded them that she is a wheelchair passenger who cannot speak english how will the hotel find her,NOT
1885, everyone should know about this it's about time we called out these violent liberals that have gone so far off the deep end,OFF
1886, i think jack is busy right now pushing the feds for their share of the million museum project waiting for liberals to suggest only they can deliver federal dollars,NOT
1887, he wants to be the senator of north mexico,NOT
1888, liberals be like ,OFF
1889, i've seen these big chairs but the look on your face and the pose makes me laugh somehow i believe that was all purposely orcastrated by you boots you are so silly,OFF
1890, the whole of the media in this country sets out to discredit tommy and you decide to write a criticism about him as well pathetic we know he has his faults noone is perfect but save your attacks for the likes of corbyn and antifa if you don't like tommy stay away from him,NOT
1891, self defence is justified but that is not what antifa does is it,NOT
1892, what an incredibly odd little man he is,NOT
1893,conservatives are enemies of whites ,OFF
1894, lol i'm sure paul manipulated people last season and we called them followers cuz they saw the threat and didn't do anythingkind of what kaycee amp angeela are doing this seasonthey both wanna take tyler all the way knowing how much of a final  threat he isthat's following,NOT
1895, hollywood is so out of touch,NOT
1896, hey biden there is a reason why hard working americans will never tolerate you or your career politicians again thank you trump,NOT
1897, it is a suicide mission if they don't put him on the bench standup for and i don't mean the warped sense of justice preached by the liberals get 'er done ,NOT
1898, the same way democrats have smeared conservativesrepublicans what about how democrats don’t stand up for the women that have been sexually assaulted by democratic politicians you’re a hypocrite amp you need to shut the hell up,OFF
1899, this sums up what's happening across the pond it is what the hides in america ,NOT
1900, oh stop u r only defending him because u r both conservatives if i liberal had been accused u would believe the women right away go yell at someone in a toll booth and spare us all please,NOT
1901, reading when the letter doesn't say that they know ford unlike the kavanaugh letter where the women say they do him the left wing liberals aren't threatening this woman's life,NOT
1902, he is truly dumb as shit,OFF
1903,hugs milo he is mine now and you cannot have him back gtgt,NOT
1904, charged for false charges why not,NOT
1905, he lets her ramble on for a bit smiling and admitting to himself that this is why he likes having kate around she is definitely a younger version of himself pretty sure they done did the do,NOT
1906, do you have run support data i’m guessing nola has gotten more everything equal i go with wins but his season is just so good i think he is the exception,NOT
1907, williams displayed her bad tempered side to the world and it is something she will probably always regret i would say to her be ye never so high that you believe you are above the rules,OFF
1908, she is an opportunist she wanted a cabinet post but liberals rightly decided she wasn’t good enough for the task she crossed because conservatives promised her one she is a person with no core beliefs she is not credible and not to be trusted,OFF
1909, this is just more proof are beyond unhinged and should never ever have power in this country again ,NOT
1910, when they go low ,NOT
1911, the us open has treated her poorly with the whole controversy over her outfit bottom line is she was treated differently because she is a women of color and this would never happen to a man the usta better soon recognize that she is women’s tennis and act accordingly,OFF
1912, see i told you she is despicable,NOT
1913, fear monger fake rage,NOT
1914, are conservatives starting to sound like my relatives on facebook or is it the other way around,NOT
1915, i’m finna say fuck it and get a crispy ass jogging suit,OFF
1916, women  liberals nuff said kavanaugh to be confirmed next week regardless of these desperate games game over ,NOT
1917, whos sick of intitled racists,OFF
1918, fuk this fat cock sucker,OFF
1919, and you know he is probably saying the softest things and yet he looks like this ‍ what is the truth,NOT
1920, what you are saying is simply untrue,NOT
1921, gun control supporters are once again rebranding their efforts [we're on facebook  livingtrust  free california class  plus virtually unlimited free training at front sight world's largest shooting school] ,NOT
1922, just wondering whether we should have another election if the wrong party get in because  of the electorate voted for the  or when  voted labour in  and won,NOT
1923, she is great hi fiona,NOT
1924, all i'm hearing is we don't care that people in this country are being unjustly treated i'm going to make up an excuse as to why kneeling is offensive so i continue to ignore the problems we face as a nation,NOT
1925, i completely agree which is why a potential victim's claim must be afforded due process before she or he is villianized,NOT
1926, bwahahahahahashe is a liar let her bring a case with the state of md then i would love to see it and see her bankrupted by kavanaugh's attorney in a libel suit,OFF
1927, her family consist of  cheating husband who never loved her two bonus boys who made it clear she is not their mom and never will be  in laws who show more affection to stray cats than wewe  paid employees who laugh at her while cashing her checks ,OFF
1928,  years ago i was sexually assaulted by a supreme court nominee but i would like to remain anonymous so that i don't have to answer questions this is basically a smear campaign because i am a democrat and don't want conservatives with a majority on scotus,OFF
1929,understand that black lives matter fight global warming demand gun control safeguard roe v wade and of course marshal their forces to throw the bum out save our ss from being used as welfare for billionaires have medicare that covers everything no worries or fears,OFF
1930, his policies were the worst,OFF
1931, maybe will tweet a bible verse after allhe is a ferengi ,NOT
1932, i don’t like this you guys aren’t gettting what she is trying to pass across she said she went to the cu in enugu and left in  ,NOT
1933, better leave with women's title tonight she is the best woman on the whole roster bar none,NOT
1934, we all know that the left is going to believe all those lies demo liberals rats are there to destroy president trump nov is going to be red ,OFF
1935, a nothing burger,NOT
1936, he did not born so he is not pakistaniget a life manif ur wife deleiver boy in london nd back to pk so the baby is not pakistaniyou nd ur wife r not pakistanijust some papers of registration in london make ur boy non pakistani honey see the forefathers history,OFF
1937,adulting is knowing who fucked cut off in your future plans,OFF
1938, please don’t make the same mistake with  he is a perjurer who is also a trump lackey ,OFF
1939, she is so beautiful ,NOT
1940, you are so sweet thank you for spreading love into her tml ,NOT
1941, she sounds amazing and it's a bloody disgrace that she is mostly forgotten,NOT
1942, says the man with  favorability and won't win so he is retiring,NOT
1943, semper fi marines and follow all maga,NOT
1944, she is the “comedian” that lectures the audience for an hour how white men are the scum of the earth,OFF
1945, you are too pure to become like this atsushikun he whispered as if he could hear what the child was thinking about that wasn't so hard i love you i have adopted you i have saved you you showed me a beautiful light atsushikun,NOT
1946, and my nephew is over there trump has it right get the f outta there,NOT
1947,this is how he  please explain ,NOT
1948,impeach trump and ,OFF
1949, is zoe getting married i refuse to believe this she is still a baby a baby lol,NOT
1950,salesforce billionaire marc benioff buys time for  million  ,NOT
1951, don't get rights  ,NOT
1952, the sort of thing and the socialists of would cheer,NOT
1953, my name is whitney not whitey,NOT
1954, stop giving me quotes start giving me facts that prove gun control will work,NOT
1955, i guess it’s time to get divorced just so we can keep more income how silly is that liberals have no clue make it so all canadians can benefit not just divorced couples ,NOT
1956, freedom of speech is only if you agree with the left,NOT
1957, me estoy fucking alterando,OFF
1958,rahm emanuel’s failure is an ill omen for all democrats  ,OFF
1959, congratz you are going to make a great mom,NOT
1960, more and more conservatives are turning their back on because of his abuse of power ,NOT
1961, i wasn't given the option to stay home and stack money but i always tell people if the opportunity is given take it ‍ shit hell out here,OFF
1962, and people still think this administration is the greatest since sliced bread ridiculous,OFF
1963, sorry fella but connelly thought he was hollywood ,NOT
1964, and trump has to go i’ve got one word ‍,NOT
1965, cnn is evil a true enemy of the people i can’t believe there are people who still take them seriously,OFF
1966, a vulgar attempt to reduce sisterhood to genitalia,OFF
1967, gotta admitshe’s stacked,NOT
1968, gillibrand must have been a very sexually active woman to be pushing young women to have abortions,OFF
1969, same with the gun control debate no it won’t keep guns away from every criminal but it can make things better it won’t prevent every mass shooting but it may prevent those crazy people from buying a gun in the first place,NOT
1970, i'll answer for you when you have a different opinion to them you're a racistwhen they lose an argument you're a racistif you love britain you're a racistliberals are week peopleit takes a strong person to to not be one of the sheep,OFF
1971, don't you have to have some proof,NOT
1972, ‍ that would be silly,OFF
1973, google stock wayyy up whats so bad with your trump world ,NOT
1974, so and accusation by a libtarded trump hating liberal activist against a trump appointee doesnt make u wonder if the accusation was politically motivated in the slightest no this is why conservatives think u are all stupid because u are,NOT
1975, does she expect a mob in pussy hats shouting we believe her in unison based on a general distrust of conservatives,NOT
1976, maybe he is for brutally beating a woman apparently spending a couple hundred dollars makes up for beatin the piss out of someone,OFF
1977, everybody talks about the weather    we don't we confront them when we make sure that what doesn't suit us never happens again don’t blather that it is too violence the action is not crocheting doilies,NOT
1978, apparently conservatives are now automatically guilty of any crime or assault that shows up from no where at the last possible minute we are no longer presumed innocent until proven otherwise,NOT
1979, oh well you are a better man,NOT
1980, he is such a stroke,NOT
1981, you are some basic white girl who clearly didn’t know any of them personally and it’s awful what has happened to mac so why don’t you pay respect to that instead of being disgusting and blaming another innocent human in something that has nothing to do with them,OFF
1982, the racist excuse every time telling it like it is against being pc ,NOT
1983, i believe he is winded some nights you just don't have it i guess,NOT
1984, my opinion isn’t false just as is you’re isn’t  you can’t downplay my feelings because it doesn’t fit into your narrative what rights are we taking away better gun control if that hurts your soul oh well a dead child hurts mine more,OFF
1985, you were right last night about quad she acts like she is the only one going through things in life she has to share with her friends so that y’all can be there for her ,NOT
1986, how do i connect my usb token to an iphone,NOT
1987, here' s a guy that's a reliable source of information hhahahahahahaha just kidding,NOT
1988, and you support the right using antifa tactics in other words the tactics of a domestic terrorist group,OFF
1989, i see his tweet but it’s just another garbage tweet from the liberals contributed nothing except to add more confirmation that the liberals are out of talking points amp aren’t to be believed,OFF
1990, they really don't care who he is only that he will act as a judicial alt right operative on the supreme court,NOT
1991, we support you dana in anything you do—yes you are a heck of an actress thank you for fighting for us nra proud maga blessings dana,NOT
1992, oh ffs this is just sublime you are getting better and better,NOT
1993, hey why don’t you look at what keith elison of minnesota get off your bully pulpit and do a investigation into his past abuse or do you just cheery pick ……,OFF
1994, my dad didn’t die so anyone could disrespect the fabric amp country he fought our flagampcountry are inseparable both defended with human blood ampthose who disrespect the flag disrespect the country you are to defend the flag amp the country you served under amp took oath defend,NOT
1995, really and then where in the world does antifa fit into wacked out birdlandia and boy oh boy birdsize also apparently believes the notion that there are people who actually deny climate i kid you not i think rod serling's coming to escort birdbrain back to 'the zone',NOT
1996, bring on amy barrett no hearings needed anymore and she is a candidate number one  and she is better on real human rights this is what the dems want so make her scotus maga ,NOT
1997, apparantly that rule of law doesn't apply to republicansconservatives baselessly accused by dems,OFF
1998, but she didn’t resist she actually participate freely well maybe not free she did get paid,NOT
1999, you are wise,NOT
2000, what difference does it make if the gun death was a “fight” or “random” holding parents accountable could be part of gun control legislation write you congressional representatives and demand it until congress deals w gun violence it will continue amp all americans are at risk,OFF
2001, this pope is pure satanic god will strip him down to nothing and cast him to hells fire for his crimes,OFF
2002, he ruined the brand for what kaepernick,OFF
2003, this guy wants to be a successful producer and he is tweeting stuff like this,OFF
2004, dangerous obnoxious garbagegood luck doctor,NOT
2005, tick tock swamp  your going to jail very soon  ,OFF
2006, the people of pr tried telling us this last year but you were too busy bashing trump with mayor cruz to you people  peoples lives were worth it to try to make trump look bad you are all a disgrace,OFF
2007, as much as i dislike antifa i hope none of them are stupid enough to fall for this bait and end up getting themselves or someone else injured or killed,OFF
2008, sorry you are having issues please send an email to feedback with a description of your issue and the email address associated with your account thanks,NOT
2009,  and this explains why he is disrespected by idiots like urself and korzemba,OFF
2010, liberals always be liberalling ,NOT
2011, this is a guy who weaponized the judicial system and irs to attack conservativesthis is a guy who couldnt grow the ec onomy over  percentthis is a guy who said get used to itits the new norm this guy is a moron,OFF
2012, i suggest using the nd to remove him,NOT
2013, she is probs busy over school or something,NOT
2014, can you imagine what she is like to waitstaff who get her order wrong,NOT
2015, the free press you mean mainstream corporate media you ought to look into what you are speaking of i come from a line of journalists and printers that were and are an integral part of truly free press we are not shutting down speech the left is antifa ,NOT
2016, unless he is like that old skin bag cher she just coming back and coming back ,OFF
2017,project veritas footage released of socialist state department worker  clear hatch act violation felony indict this sob,NOT
2018,and the hits just keep on coming from the democrats the desperation is palpable followlike  on twitter share ,NOT
2019, this is so fake he’s unable to feel true feelings he even lies when he says anything and she is just as stupid in standing by a man who clearly doesn’t respect the unity of marriage while he was with her and pay these women off stand up divorce like his other wifes did hes a pig,OFF
2020, so is fox news now campaigning for the fairness doctrine or is this just republicans using the power of congress to force private companies to broadcast whatever the gop says as truth when will nra tv have pro gun control nra members on,OFF
2021, last tea party rally didn't look like the last antifa rally did it misfits and unsuccessful people is all that rally on left,NOT
2022, how how is this in any way shape or form,NOT
2023, i thought this was snl the last guy is wearing a fucking beanie with the mindmill on its,OFF
2024, happy birthday again lucky lovely charm ka ng you are stunning  hiphop ka minsan sa game ha,NOT
2025, has this guy got acorns in his cheeks or what lack of walking around sense is astonishing with liberals,OFF
2026, has no respect left they have really reached the point of being the ,NOT
2027,  negative coverage says you are delusional,NOT
2028, is so biased against conservatives‼everyone should drop google and use bing or duckduckgo,OFF
2029, call bullsh just poor losser,OFF
2030, i will never buy a magazine again ,NOT
2031, degenerative behavior creeps onto our sovereignty and justice system,NOT
2032, i love my wife hannah ,NOT
2033, you don’t believe this is true fact and ac commentary on your tweet let say he is wrong in reference to florence but is he correct on you not visiting any impacted areas how long you will fool your base fans grow up,NOT
2034, happy dance that serena lost she needed taken down a notch or two,NOT
2035, you are not alone here i didn't like the last jedi a bit more than force awakens cannot talk about solo because didn't see it but rouge one is the other star wars under disney that was good,NOT
2036, maybe she was fucking hungry no one knows what kind of home life she has my goodness she is a child and this officer could have handled this better sorry he needs to be fired,OFF
2037, that only report the conservatives in a positive way,NOT
2038, rauner has severely failed illinois touting his “turn around agenda” he gave us nothing but his “turn coat agenda” illinois conservatives not have one choice for state experience ,NOT
2039, and if there is gun control in usa who will be rounded and exterminated ,OFF
2040, sounds to me like the pope needs counselled on confession,NOT
2041, there is shiva and she is not a boy ,NOT
2042, timing they had this info in their laps you betcha that's the chess game of politics nothing new here use things to your advantage when you need them doesn't make them untrue ,NOT
2043, she is flat out lying,NOT
2044, so death tolls are determined by studies and computer programs,NOT
2045, i have you and kaze i need more,OFF
2046, he is complicit and took the money he is going too ,NOT
2047, oh and thanks for rting my post yes we're gonna,NOT
2048, can't do that blm and antifa morons will start looting,NOT
2049, interesting my interpretation of the piece was that he was speaking tongueincheek in relating his psychiatric condition to the gun qualifications to highlight the ironic and counterintuitive nature of gun control laws i thought it was a well balanced insider piece,NOT
2050, ok with andrew bully liar touchy cheat to be kept on as a mp on £k no anti bullying rules  … ,NOT
2051, you simply gloss right over the silly emotional female and her nothing problem then you delete this as you realize how horrible it is or perhaps someone told you but somehow it is the fault of the liberals who might misinterpret what you wrote in plain english,OFF
2052, misdrawed cause she is not white and blonde why he did that can you answer that,NOT
2053, bono is clearly a racist,OFF
2054, yeah he is,NOT
2055, liberals ruin everything,NOT
2056, joan is playing  characters this season all the way up to episode  so far pretty sure she is a main,NOT
2057, oh my goodness she is so precious babies make everything better thank you for sharing ,NOT
2058, you are doing copy paste of the tweets of south park twitter there are something weird on here ,NOT
2059, wtf is going wrong with these days ,NOT
2060, to the kneejerk people crying for gun control after this shooting we already have very restrictive gun control you just want a ban it's a pity no one has politely explained to these criminals that they are supposed to obey the law,OFF
2061, there she is looking wretched,NOT
2062, the liberals responses to this great news is very telling,NOT
2063, you liberals live by double standards look at what you did to monica lewinski she was branded a liar and whore even after she produced the evidence all because good ole bill is a democrat your all fucking insane,OFF
2064, has failed the and  is the people's party of   shared via the cbc news android app,NOT
2065, don't shame your entire country you are not mad,NOT
2066, she is a piece of shit and i am not sorry for my bluntness from now on i am going to say what i think whether bluntly or rudely,OFF
2067, so you're saying antifa should have never oppressed the nazis gotcha,NOT
2068, animal is the operative word ,OFF
2069, can’t she appeal  this is all kinds of wrong  if i were es would beat the sh out of her,OFF
2070,black female democrats call for changes in party  ,OFF
2071, for someone unqualified he seems to be doing a darned good job,NOT
2072, are you aware that hillary clinton said she was going to use nuclear weapons against russia that was after she sold the  of our weapons fuel she is a complete idiot,OFF
2073, you are so cute ,NOT
2074, not according to the echr who said it was inhuman amp degrading treatment which is pretty awful in itself so you are directing your comments at the wrong person,NOT
2075, it’s about time a civilised nation needs tougher gun control man only backwards countries don’t,NOT
2076, dianne feinstein disagrees she effectively called the woman a liar,NOT
2077, time i’m really starting to hate that wordshe had all the time in the world to open her mouthreally shut up about time enough of this leftliberals bull shit about time you and she have no case actually time is what is hurting her case,OFF
2078, the whole milk thing is a lie anyway not needed does weird things to humans save your money for your labour membership x,NOT
2079, concert goers massacred in missouri with mm ruger p the nra calls gun control research 'unethical',NOT
2080, gun control at its finest a is the greatest she was ,NOT
2081, fact isit's up to us to vote republican to make sure that doesn't happen,NOT
2082, sir it comes to something when you present a lie as a fact have you no shame this is the fact  of labour voters voted to remain ref yougov polls your position is based on a false premisehave a nice day,NOT
2083, [eric opens the door and runs to the couch] fuck yeah,OFF
2084, everything is more intense when grieving grief started for me as a child so i totally get it many of your cyber friends got your back again every thing will more intense she is beautiful,NOT
2085, levi’s just came out in support of student gun control activists now the trumpers will be burning their jeans as well as their sneakers,OFF
2086, dont tell me she is at it again,NOT
2087, georgia universityyour racism and utter lack of tolerance is showing higher education is apparently not your goal,OFF
2088, yes it does she should be made to resign ,NOT
2089, corrupt rhino glad he stepped down,OFF
2090, liberalism has being remarkable sucessful at taking over both sides of the political spectrum today's left are liberals with emphasis on minority issues and welfare and today's right are also mostly liberals with emphasis on nationalism and anti immigration,NOT
2091, if you ain’t hyping me up like the nigga in the back ima have to throw the whole friend away,OFF
2092, you guys you seriously don't mean everyone right there are good people here that don't like to bother with shit like that personally for me i want this shit to stop but our government apparently is to fucking stupid with gun control arm teachers with guns yes makes sense,OFF
2093, what a stupid incompetent devious and toxic pm may haven't you forgotten  million voters betray us at your peril you are eroding faith in democracy  destroying tory party you should go ,NOT
2094, chan trolling antifa again,NOT
2095, banned the nfl,NOT
2096, he is now full oompa loompa,NOT
2097, that is actually a compliment since she is one of the biggest artists out today thanks ,NOT
2098, your ‘political analysis’ have been blinded by your obvious bias otherwise you couldn’t have come up with such wrong conclusions turnbull was the biggest threat to the liberals existence removal also proved that there never was such thing as ‘turnbull’s popularity’,NOT
2099, i thought so i'm mingling ever since you decided to attack my opinion on gun control and brett kavanaugh i just asked you if having a conversation with you would be worth my time and effort so far all you've done is prove that it is not worth the effort have a nice day,NOT
2100, ohno benefits and employment goes up see how it works yet,NOT
2101, if liberals can’t win they will do whatever it takes to obstruct the process,NOT
2102,antifa professor speaking ,NOT
2103, i hate steffywhy because she always gets what she wants and doesn’t care how she does it or who she hurts i knew her giving hope to liam was to good to be true she is such a bh,NOT
2104, now that’s what i call “gun control”,NOT
2105, just what would she lose she is a hero with the cuckoo class,NOT
2106, he obviously isn’t boycotting ,NOT
2107, this is another attempt from the democratic liberals to bash a judge this didn't come out any other time and since it's many years ago she should have to prove it and i still think they should have that vote also there a democrat running for mayor and he paid his girlfriend,NOT
2108, antifa is a high emotion low iq fascist organization some of its members are fooled by its name into not reflecting on their own groups obvious fascist ideals and others are just there to take advantage of the rest of the fools,OFF
2109, haha true back to your original point if we all just fucking drive everything would be fine,OFF
2110, fun fact i nutted to this ,NOT
2111, exactly my thoughts she is always a sweetie when she’s coddled her true character exposed as an athlete is revealed in times as this she’s not a role model or a legend,NOT
2112, liberals will drive republicans to the polls no worries,NOT
2113, a short course,NOT
2114, he is the unindicted coconspirator aka individual  ,NOT
2115, booker is toast,NOT
2116, another lie,OFF
2117, holy shit pt ,OFF
2118, it means he is still superman,NOT
2119, trump and the mueller investigation  climate change  guns and gun control  unions and workers ,NOT
2120, trump didn't want to be president therefore colluding with russia for presidency is a made up attempt by liberals just like scjous,NOT
2121, her eyes look “cockeyed” to me,NOT
2122, we need to name and shame these people ive a fb group which i expose antifa hnh etc ,NOT
2123, hysterical liberals following don jr no facts just liberal mouthpieces,OFF
2124,  it is wrong to let hysteria override ‘innocent until proven guilty’  but liberals are trying,NOT
2125, these nuns buy stock in gun companies to fight for gun safety  via ,NOT
2126, if we don’t “get rid” of moonbeam he will sink our state into the pacific ,NOT
2127,more bad news for democrats ,OFF
2128, because some people are bastards you're hopelessly naïve if you think plenty of frauds won't take advantage of this law change for malign purposes,OFF
2129, even the most die hard liberals in the media are stepping back from this one,NOT
2130, she is not in this photo it has not been verified that they knew each other this story is about the weirdest i’ve ever heard and the texas rangers better do right by bo,NOT
2131, bs he is looking for retirement money and a new job,NOT
2132, that she is ,NOT
2133,now i know we have a lot of people to feed but these two these are mine now go back to feeding people i'm starving i haven't eaten in at least  minutes you need a maga hat ,NOT
2134,she is dirty like trumpshe stole ted cruz campaign voters list and gave it to trump ,OFF
2135, of course they are attacking your book i am shocked this tweet has not been censored keep fighting to ,NOT
2136, ah but aren't the railways so much better now they've been privatised by the ,NOT
2137, our great state has been flooded with illegal immigrants and liberals from blue states looking for work then these dumbaes vote democrat go figure all insane,OFF
2138, she is unhinged and not to be taken seriously by anybody,NOT
2139, not to mention they’re the ones who allegedly defend freedom and liberty but use the nslmccarthyism to silence dissent and almost sent paratroopers to quash the candlelight revolution conservatives  hate democracy,NOT
2140, if gov't remains status quo we can kiss our new found wealth goodbye open and transparent nothing less thanks to for having a spine ,NOT
2141, she’s just jealous of how cute you are with your scrunchie amp crocs wear them proudly sweet pea ,NOT
2142, i thought they turned into antifa,NOT
2143, following all patriots please follow back ,NOT
2144, if it doesn’t have mampm’s it’s not trail mix you are kicking ass and doing awesome keep it up,OFF
2145, crazy liberals,OFF
2146, fingers crossed she is enjoying school but goingkonjam sad and little tears no tanrums though,NOT
2147, wifi free,NOT
2148, i think you are confused about who was locking people up,NOT
2149, you’re right but if our terrorize someone for having a different belief you are not any better,NOT
2150, i hope you are right,NOT
2151, i don't know who she is,NOT
2152, she is really putting one the act she has been in a hotel and have money to eat and also go to museum and her home is ok,NOT
2153, that’s awesome i bet liberals are screaming right now trump’s face when he heard it was great go trump,NOT
2154, cockroach,OFF
2155, lisa page confirmed the russia story was passed to the msm as a distraction for gullible liberals to push as a narrative to hinder our duly elected president’s success in office,OFF
2156, despicable is a world that only goes half way of describing maxine,NOT
2157, soros' people are really vicious and out of control he or one of his allies probably plans and funds antifa they are actually trying to take over the government,NOT
2158, pretty much spot on there,NOT
2159, everyone muted you  thanks for working for free ,NOT
2160, whats wrong with dead  i don't understand i thought the only good antifa was,OFF
2161, becoming what besides a multimillionaire,NOT
2162,amp this is why she is the goat ,NOT
2163, i just want to impress only one person in particular i don't care about the rest of the world becoz he is the world to me,NOT
2164, trump will never be a free range chicken again he is a danger to the world while under constant surveillance and scrutiny imagine him gallivanting around the world with the little scraps of actual intel he does know completely unfettered just don't see it happening,OFF
2165, she is so gross an obvious hack,OFF
2166, unfortunately that it the liberals agenda,NOT
2167, where does mrs may get her 'cunning plans' from ,NOT
2168, you must have an entire closet dedicated to college teams,NOT
2169, good bye flakey fake and good riddance,NOT
2170, if you are not sure then l will block all these useless tweets ok ,OFF
2171, the reason people are tired of this is because you only focus on the conservatives ford has treated people poorly and the constitutional crisis is abominable his treatment of the women in the legislature is despicable,NOT
2172, from and ,NOT
2173, this woman is going to be so rich  she is already a hero to half the country and  of the media and acedemia because she might stop trump from giving the court a conservative majority ,NOT
2174, good arrest them all arrest the crazy ndp leader as well she is having her lil minions take a fall for her she planned this will she be paying their legal fees i think not the immaturity level of this goverment party is disgusting,OFF
2175, yes among my favorite stories comes back and shows how a perennial evil he is in the universe the daxamite menace might be among the most terrible menaces ever read by me,NOT
2176, you don’t know squat about obama second you say we are not safe because of obama wrong you think were safe to an individual who fights gun control how many shootings have there been since trump got into office explain that,NOT
2177, fake conservatives and their fake outrage over the budget betrayal  ,OFF
2178, conservatives historically go by the constitution  part of the reason for the name  the libs like to make to make it up as we progessive,NOT
2179, i knew he will b dead he is brave ,OFF
2180, nah she is pti an emotional one more than rational but got caught at the wrong end of the bargain big house too many members but single gas connection she doesn't understand it's target is the elite and the people who run gas generators,NOT
2181, i hope the nfl folds,NOT
2182, you say “highvalue men” like that’s a real thing that exists amp not a madeup lie you told yourself to distract from the fact your mother never loved you amp your penis is microscopic,OFF
2183, john careful liberals will attack you for thinking critically because the facts aren't on their side,OFF
2184, amazing how the pope is afraid of the truth,OFF
2185, these people are absolutely insane liberals have been attacking white men for years and it is getting worse the path they are pushing for will create another civil war which there will not be a recovery and they are too damn stupid to see that,OFF
2186, if they don't change course the tories are going to be toast at the next general election they do not want to go the way of the canadian conservatives in  who went from being in power with  seats to just  seats  ,NOT
